Country Name,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,20.6,20.9,19.7,21.1,20.8
Angola,AGO,10.8,10.7,10.7,10.6,10.5
Albania,ALB,25.8,27,28.3,28.7,29.2
Arab World,ARB,25.0,28.1,29.1,29.3,29.7
Unated Arab Emirates,ARE,9.8,9.8,9.8,9.9,10
Argentina,ARG,19.5, 18.8, 18.4, 19.7, 21.3
