,Environmental Indicators: Energy,Unnamed: 3,Unnamed: 4,Unnamed: 5
201,Slovenia,287,139,31.86424
202,Solomon Islands,6,11,0
203,Somalia,126,12,0
204,South Africa,6341,119,1.687019
205,South Sudan,28,2,0.423729
206,Spain16,4923,106,37.96859
207,Sri Lanka,388,19,59.57323
208,State of Palestine,61,14,0
209,Sudan,608,16,78.41048
210,Suriname,34,65,22.02381
211,Swaziland,49,39,40.67797
212,Sweden,2044,212,46.59846
213,Switzerland17,1113,136,57.74548
214,Syrian Arab Republic,542,28,11.56827
215,Tajikistan,106,13,99.74292
216,Thailand,5336,79,4.305189
217,The former Yugoslav Republic of Macedonia,117,56,26.14047
218,Timor-Leste,7,6,0
219,Togo,134,19,80.18018
220,Tonga,3,28,0
221,Trinidad and Tobago,824,611,0
222,Tunisia,430,39,3.492547
223,Turkey,4897,64,28.53669
224,Turkmenistan,1102,210,0
225,Turks and Caicos Islands,3,85,0
226,Tuvalu,...,...,0
227,Uganda,452,12,68.01818
228,Ukraine18,4844,107,8.067312
229,United Arab Emirates,2710,300,0
230,United Kingdom of Great Britain and Northern Ireland19,7920,124,10.60047
231,United Republic of Tanzania,994,20,31.07284
232,United States of America20,90838,286,11.57098
233,United States Virgin Islands,...,...,0
234,Uruguay,196,58,71.60504
235,Uzbekistan,1798,62,21.32841
236,Vanuatu,3,10,14.70588
237,Venezuela (Bolivarian Republic of),2871,95,67.83452
238,Viet Nam,2554,28,45.32152
239,Wallis and Futuna Islands,0,26,0
240,Yemen,344,13,0
241,Zambia,400,26,99.71467
242,Zimbabwe,480,32,52.53612
