ID,Country,Energy Supply,Energy Supply per Capita,% Renewable
164,Nigeria,5589000000.0,32,18.39025
165,Niue,0.0,65,0.0
166,Northern Mariana Islands,,...,0.0
167,Norway,1388000000.0,273,97.63558
168,Oman,1015000000.0,260,0.0
169,Pakistan,2868000000.0,16,31.87684
170,Palau,3000000.0,152,18.75
171,Panama,158000000.0,42,57.50948
172,Papua New Guinea,144000000.0,20,23.946360000000002
173,Paraguay,228000000.0,35,99.99503
174,Peru,858000000.0,28,51.96861
175,Philippines,1781000000.0,18,26.172639999999998
176,Poland,4121000000.0,107,5.5378989999999995
177,Portugal,899000000.0,86,53.3403
178,Puerto Rico,56000000.0,15,1.080808
179,Qatar,1396000000.0,664,0.0
180,South Korea,11007000000.0,221,2.279353
181,Republic of Moldova,93000000.0,23,5.082873
182,Réunion,59000000.0,70,28.297190000000004
183,Romania,1339000000.0,68,34.3845
184,Russian Federation,30709000000.0,214,17.28868
185,Rwanda,95000000.0,9,35.83535
186,Saint Helena,0.0,40,9.090909
187,Saint Kitts and Nevis,4000000.0,73,0.0
188,Saint Lucia,6000000.0,33,0.0
189,Saint Pierre and Miquelon,1000000.0,162,2.1276599999999997
190,Saint Vincent and the Grenadines,3000000.0,28,16.66667
191,Samoa,4000000.0,22,31.355929999999997
192,Sao Tome and Principe,3000000.0,14,10.44776
193,Saudi Arabia,7985000000.0,264,0.000352
194,Senegal,154000000.0,11,1.9982369999999998
195,Serbia,618000000.0,69,27.21619
196,Seychelles,9000000.0,94,1.9774009999999997
197,Sierra Leone,67000000.0,11,64.02439
198,Singapore,1120000000.0,207,0.0
199,Sint Maarten,12000000.0,327,0.0
200,Slovakia,711000000.0,131,20.21712
201,Slovenia,287000000.0,139,31.864240000000002
202,Solomon Islands,6000000.0,11,0.0
203,Somalia,126000000.0,12,0.0
204,South Africa,6341000000.0,119,1.6870189999999998
205,South Sudan,28000000.0,2,0.423729
206,Spain,4923000000.0,106,37.96859
207,Sri Lanka,388000000.0,19,59.57323
208,State of Palestine,61000000.0,14,0.0
209,Sudan,608000000.0,16,78.41048
210,Suriname,34000000.0,65,22.02381
211,Swaziland,49000000.0,39,40.67797
212,Sweden,2044000000.0,212,46.598459999999996
213,Switzerland,1113000000.0,136,57.74548000000001
214,Syrian Arab Republic,542000000.0,28,11.56827
215,Tajikistan,106000000.0,13,99.74292
216,Thailand,5336000000.0,79,4.305189
217,The former Yugoslav Republic of Macedonia,117000000.0,56,26.14047
218,Timor-Leste,7000000.0,6,0.0
219,Togo,134000000.0,19,80.18018000000001
220,Tonga,3000000.0,28,0.0
221,Trinidad and Tobago,824000000.0,611,0.0
222,Tunisia,430000000.0,39,3.492547
223,Turkey,4897000000.0,64,28.536690000000004
224,Turkmenistan,1102000000.0,210,0.0
225,Turks and Caicos Islands,3000000.0,85,0.0
226,Tuvalu,,...,0.0
227,Uganda,452000000.0,12,68.01818
228,Ukraine,4844000000.0,107,8.067312
229,United Arab Emirates,2710000000.0,300,0.0
230,United Kingdom,7920000000.0,124,10.60047
231,United Republic of Tanzania,994000000.0,20,31.072840000000003
232,United States,90838000000.0,286,11.57098
233,United States Virgin Islands,,...,0.0
234,Uruguay,196000000.0,58,71.60504
235,Uzbekistan,1798000000.0,62,21.32841
236,Vanuatu,3000000.0,10,14.705879999999999
237,Venezuela,2871000000.0,95,67.83452
238,Viet Nam,2554000000.0,28,45.32152
239,Wallis and Futuna Islands,0.0,26,0.0
240,Yemen,344000000.0,13,0.0
241,Zambia,400000000.0,26,99.71467
242,Zimbabwe,480000000.0,32,52.53612
